,buy_status,payment_method_id,payment_method_resource,tx_id,tx_resource,buy_amount,buy_amount_currency,buy_total,buy_total_currency,buy_sub_total,buy_sub_total_currency,buy_date,buy_update_date,resource,buy_committed,buy_instant,buy_payout_date
46,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,280e3705-f7d7-53fe-b2f8-dd42275fa76a,transaction,2.81783174,ENJ,5.0,USD,4.01,USD,2021-06-17 16:52:03+00:00,2021-06-17 17:52:36+00:00,buy,True,True,2021-06-17 16:52:15+00:00
47,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,4dd386dd-025b-551f-9c9f-53fc1bc2ca6a,transaction,36.7815013,MANA,25.0,USD,23.51,USD,2021-06-18 20:43:47+00:00,2021-06-18 20:43:54+00:00,buy,True,True,2021-06-18 20:43:52+00:00
48,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,f4df35a1-b14e-586d-9f8c-4dac3b3375fb,transaction,20.59909586,1INCH,100.0,USD,97.01,USD,2021-05-17 15:42:50+00:00,2021-05-17 21:43:01+00:00,buy,True,True,2021-05-17 15:42:57+00:00
49,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,858e6a34-8635-54e9-8e22-8372f03e4ec3,transaction,19.59150867,1INCH,100.0,USD,97.01,USD,2021-05-17 13:31:43+00:00,2021-05-17 19:31:54+00:00,buy,True,True,2021-05-17 13:31:50+00:00
50,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,6cb6d4b0-8ee7-5334-92a8-d30989bfd04d,transaction,2.10150257,GRT,3.0,USD,2.01,USD,2021-08-25 20:31:39+00:00,2021-08-25 21:15:14+00:00,buy,True,True,2021-08-25 20:31:38+00:00
51,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,0fa14a83-70ee-581a-9890-f77abf0e3b2a,transaction,2.32018561,GRT,3.0,USD,2.01,USD,2021-08-18 23:07:59+00:00,2021-08-18 23:45:14+00:00,buy,True,True,2021-08-18 23:07:59+00:00
52,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,43e0ef98-7594-586b-b3ec-e4ca93c11019,transaction,2.51889169,GRT,3.0,USD,2.01,USD,2021-08-11 22:22:49+00:00,2021-08-11 22:45:37+00:00,buy,True,True,2021-08-11 22:22:49+00:00
53,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,c366dbc7-bcbe-532a-89e8-92441f43f6f0,transaction,3.00165091,GRT,3.0,USD,2.01,USD,2021-08-04 23:05:44+00:00,2021-08-04 23:45:57+00:00,buy,True,True,2021-08-04 23:05:44+00:00
54,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,477d1e97-1051-5113-a5b0-fc3e08507da9,transaction,3.59971202,GRT,3.0,USD,2.01,USD,2021-07-28 21:38:07+00:00,2021-07-28 22:15:16+00:00,buy,True,True,2021-07-28 21:38:06+00:00
55,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,859b1b53-bdbf-5a44-95bc-8679d58c993c,transaction,3.68935621,GRT,3.0,USD,2.01,USD,2021-07-21 20:25:18+00:00,2021-07-21 21:29:21+00:00,buy,True,True,2021-07-21 20:25:16+00:00
56,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,6a39ad4f-08a8-5186-8643-324f1eb245d4,transaction,3.14267756,GRT,3.0,USD,2.01,USD,2021-07-14 22:39:05+00:00,2021-07-15 13:50:53+00:00,buy,True,True,2021-07-14 22:39:05+00:00
57,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,bba90a66-dcee-522d-88dd-d1443821e9d9,transaction,2.82167043,GRT,3.0,USD,2.01,USD,2021-07-07 23:15:49+00:00,2021-07-08 14:09:53+00:00,buy,True,True,2021-07-07 23:15:49+00:00
58,completed,c80bf6de-5c35-527f-a7c0-b82f1167fcdd,payment_method,fbbd9a61-d7a2-57a5-81a1-77b64fedd4cc,transaction,3.45960906,GRT,3.0,USD,2.01,USD,2021-06-30 20:15:29+00:00,2021-06-30 21:37:21+00:00,buy,True,True,2021-06-30 20:15:35+00:00
59,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,e37d40df-4d3c-5c05-afa4-2469bcf1a0ce,transaction,44.68583539,GRT,25.0,USD,23.51,USD,2021-06-26 16:23:16+00:00,2021-06-28 14:20:00+00:00,buy,True,True,2021-06-26 16:23:26+00:00
60,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,4ca84657-25ce-5ca9-8cf4-f72658400077,transaction,78.57974861,GRT,100.0,USD,97.01,USD,2021-05-17 15:43:33+00:00,2021-05-17 21:43:39+00:00,buy,True,True,2021-05-17 15:43:36+00:00
61,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,1b33ee8c-edbb-56df-b331-3c0779cdb370,transaction,95.65315559,GRT,125.0,USD,122.01,USD,2021-05-17 13:35:39+00:00,2021-05-17 19:35:48+00:00,buy,True,True,2021-05-17 13:35:44+00:00
62,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,bbd1df1b-d6e6-5961-8503-8fedc1fb7af1,transaction,14.89826722,UNI,100.0,USD,97.01,USD,2020-09-18 16:43:28+00:00,2020-09-18 23:12:40+00:00,buy,True,True,2020-09-18 16:43:31+00:00
63,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,4656f98b-4609-5643-9c11-2fec1341ba5d,transaction,3.98639821,DAI,5.0,USD,4.01,USD,2021-06-22 20:50:40+00:00,2021-06-22 20:50:45+00:00,buy,True,True,2021-06-22 20:50:42+00:00
64,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,0cdd55a9-6a3c-5a06-a979-773037917d36,transaction,95.25146975,DAI,100.0,USD,97.01,USD,2020-09-01 14:17:24+00:00,2020-09-01 18:38:23+00:00,buy,True,True,2020-09-01 14:17:26+00:00
65,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,e0fc51b8-3c7e-5e0a-9521-e11ec3ec330b,transaction,70.57073872,DAI,75.0,USD,72.01,USD,2020-09-01 00:07:07+00:00,2020-09-01 18:33:00+00:00,buy,True,True,2020-09-01 00:07:09+00:00
